"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID"
3.424787,0.2795957,0.3881732,-0.004647008,0.01796153,-0.005811436,141.8,20,3.4,0.28613,0.39627,0.00034,0.02257,7e-05,0.11508,0.00655,0.05695,1e-04,-1.60596,0.00013,0.28599,0.08305,0.72205,0.70804,4.14839,"none",0.70813,0.70823,0.70803,"Comment",500,-1,"fish1"
3.308703,0.2692875,0.3746556,-0.00446838,0.01702539,-0.005953332,142,22,3.3,0.27582,0.38275,0.00051,0.02163,-7e-05,0.11503,0.0065,0.05651,0.00015,-1.62406,0.00021,0.27561,0.08283,0.72062,0.70815,4.00747,"none",0.70814,0.70823,0.70805,"Comment",500,-1,"fish1"
3.325427,0.2715925,0.3769938,-0.004691366,0.01711744,-0.005910556,142.2,24,3.3,0.27812,0.38509,0.00029,0.02172,-3e-05,0.11515,0.0065,0.05641,9e-05,-1.57718,0.00012,0.27801,0.08313,0.72223,0.70816,4.02902,"none",0.70813,0.70823,0.70803,"Comment",500,-1,"fish1"
3.321296,0.2709664,0.3765233,-0.004642684,0.01694177,-0.005712708,142.4,26,3.3,0.2775,0.38462,0.00034,0.02155,0.00017,0.11515,0.00645,0.05602,1e-04,-1.57659,0.00014,0.27736,0.08304,0.72148,0.70811,4.0236,"none",0.7081,0.70821,0.708,"Comment",500,-1,"fish1"
3.444785,0.2815547,0.3910694,-0.004754803,0.01811792,-0.005772247,142.6,28,3.5,0.28808,0.39917,0.00023,0.02272,0.00011,0.11525,0.00656,0.05693,7e-05,-1.54103,9e-05,0.28799,0.08315,0.72172,0.70847,4.17344,"none",0.70809,0.70821,0.70797,"Comment",500,-1,"fish1"
3.58011,0.2926973,0.4065858,-0.004338664,0.01894879,-0.005742568,142.8,30,3.6,0.29923,0.41468,0.00064,0.02355,0.00014,0.11523,0.00654,0.0568,0.00018,-1.54936,0.00026,0.29897,0.08307,0.72158,0.70827,4.33609,"none",0.70806,0.7082,0.70792,"Comment",500,-1,"fish1"
3.491033,0.2848992,0.3956377,-0.005064087,0.01809449,-0.005915905,143,32,3.5,0.29143,0.40373,-8e-05,0.0227,-3e-05,0.11503,0.00647,0.05622,-2e-05,-1.62307,-3e-05,0.29146,0.08304,0.72183,0.70806,4.2277,"none",0.70803,0.70817,0.70788,"Comment",500,-1,"fish1"
3.35961,0.2740542,0.3806487,-0.00441181,0.01751143,-0.005854476,143.2,34,3.4,0.28058,0.38874,0.00057,0.02212,3e-05,0.11507,0.00655,0.05689,0.00017,-1.60867,0.00023,0.28036,0.08298,0.72177,0.70795,4.0696,"none",0.70797,0.70814,0.70781,"Comment",500,-1,"fish1"
3.369693,0.2745898,0.3820665,-0.004569466,0.01755101,-0.00561882,143.4,36,3.4,0.28112,0.39016,0.00041,0.02216,0.00026,0.11514,0.00654,0.05679,0.00012,-1.57992,0.00017,0.28095,0.08291,0.72052,0.70791,4.08174,"none",0.70792,0.7081,0.70775,"Comment",500,-1,"fish1"
3.36984,0.2750534,0.3825186,-0.004931169,0.01721226,-0.005862805,143.6,38,3.4,0.28158,0.39061,5e-05,0.02182,2e-05,0.11527,0.00644,0.05585,2e-05,-1.5314,2e-05,0.28156,0.08309,0.72087,0.7078,4.08261,"none",0.70782,0.70797,0.70766,"Comment",500,-1,"fish1"
