"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID"
2.678982,0.2175735,0.3027986,-0.004795081,0.01308248,-0.005635637,69.5,118,2.7,0.22273,0.30914,0.00018,0.01767,0.00025,0.11513,0.00658,0.05715,7e-05,-1.58462,7e-05,0.22265,0.08292,0.72047,0.70719,3.23459,"none",0.70701,0.70711,0.70692,"Comment",-1,-1,""
2.591612,0.2101289,0.2925267,-0.004946642,0.01231341,-0.00600439,69.7,120,2.6,0.21528,0.29887,3e-05,0.0169,-0.00012,0.11505,0.00651,0.05654,1e-05,-1.61561,1e-05,0.21527,0.08287,0.72032,0.7071,3.12879,"none",0.707,0.70711,0.70688,"Comment",-1,-1,""
2.58946,0.2101794,0.2924293,-0.004534555,0.01245469,-0.005788099,69.9,122,2.6,0.21533,0.29877,0.00044,0.01704,1e-04,0.11511,0.00657,0.05703,0.00017,-1.59373,0.00018,0.21516,0.08289,0.72072,0.70711,3.12657,"none",0.70699,0.70711,0.70688,"Comment",-1,-1,""
2.576818,0.2092132,0.2910623,-0.004682384,0.01223882,-0.005810815,70.1,124,2.6,0.21437,0.29741,3e-04,0.01682,8e-05,0.11514,0.00651,0.05657,0.00011,-1.58082,0.00012,0.21425,0.08295,0.72079,0.707,3.11144,"none",0.70696,0.70709,0.70683,"Comment",-1,-1,""
2.702622,0.2196888,0.3057021,-0.004610767,0.01324875,-0.005594441,70.3,126,2.7,0.22484,0.31205,0.00037,0.01783,0.00029,0.1152,0.00658,0.05715,0.00014,-1.55926,0.00015,0.2247,0.08295,0.72054,0.70712,3.26334,"none",0.70695,0.70707,0.70682,"Comment",-1,-1,""
2.675946,0.2170733,0.3023419,-0.004790063,0.01303083,-0.005795163,70.5,128,2.7,0.22223,0.30869,0.00019,0.01762,9e-05,0.11509,0.00657,0.05707,7e-05,-1.59973,7e-05,0.22215,0.08283,0.71991,0.7068,3.23054,"none",0.70691,0.70703,0.7068,"Comment",-1,-1,""
2.728306,0.2217755,0.3085617,-0.004838453,0.01343648,-0.005860543,70.7,130,2.7,0.22693,0.31491,0.00014,0.01802,3e-05,0.11516,0.00659,0.05723,5e-05,-1.57296,6e-05,0.22687,0.08297,0.72063,0.7066,3.29425,"none",0.70688,0.70699,0.70677,"Comment",-1,-1,""
2.513261,0.2034047,0.2830676,-0.0044752,0.01184217,-0.005750563,70.9,132,2.5,0.20856,0.28941,5e-04,0.01643,0.00014,0.11487,0.00652,0.05676,2e-04,-1.68247,2e-04,0.20836,0.0827,0.72063,0.70689,3.0336,"none",0.70682,0.70693,0.7067,"Comment",-1,-1,""
2.594035,0.2103405,0.2931634,-0.004822933,0.0122993,-0.005943466,71.1,134,2.6,0.21549,0.29951,0.00015,0.01689,-6e-05,0.11519,0.00649,0.05638,6e-05,-1.56356,6e-05,0.21543,0.08285,0.71949,0.7067,3.132,"none",0.70675,0.7069,0.70661,"Comment",-1,-1,""
2.718042,0.2210611,0.307628,-0.004865178,0.01339024,-0.005904262,71.3,136,2.7,0.22621,0.31397,0.00011,0.01798,-2e-05,0.11525,0.0066,0.05725,4e-05,-1.53852,4e-05,0.22617,0.08302,0.72049,0.70699,3.2823,"none",0.70672,0.70684,0.7066,"Comment",-1,-1,""
2.715318,0.2205149,0.3069768,-0.004624129,0.01340688,-0.005861236,71.5,138,2.7,0.22567,0.31332,0.00035,0.01799,3e-05,0.11513,0.00661,0.05743,0.00013,-1.58535,0.00014,0.22553,0.08287,0.72025,0.70681,3.2783,"none",0.70672,0.70684,0.7066,"Comment",-1,-1,""
2.575774,0.2087773,0.2902218,-0.004816807,0.01241841,-0.005833941,71.7,140,2.6,0.21393,0.29657,0.00016,0.017,5e-05,0.11486,0.00659,0.05734,6e-05,-1.68642,6e-05,0.21387,0.08283,0.72136,0.70675,3.10935,"none",0.70677,0.7069,0.70663,"Comment",-1,-1,""
2.477333,0.2001236,0.2790844,-0.005098035,0.01148825,-0.006018592,71.9,142,2.5,0.20528,0.28543,-0.00012,0.01607,-0.00013,0.11493,0.00647,0.05632,-5e-05,-1.66051,-5e-05,0.20533,0.08268,0.71919,0.70654,2.9903,"none",0.70679,0.70694,0.70664,"Comment",-1,-1,""
2.471115,0.2006896,0.2793187,-0.004505503,0.01190441,-0.005793758,72.1,144,2.5,0.20584,0.28566,0.00047,0.01649,9e-05,0.11531,0.00666,0.05773,0.00019,-1.51566,0.00019,0.20566,0.08302,0.72058,0.70633,2.98506,"none",0.70683,0.70699,0.70667,"Comment",-1,-1,""
2.428188,0.1964106,0.2736121,-0.004533003,0.01158164,-0.005674654,72.3,146,2.4,0.20156,0.27996,0.00044,0.01617,0.00021,0.115,0.00664,0.05775,0.00018,-1.63313,0.00018,0.20139,0.08273,0.71998,0.70676,2.93184,"none",0.70683,0.70699,0.70667,"Comment",-1,-1,""
2.352684,0.1902039,0.265096,-0.004903584,0.0106794,-0.006108679,72.5,148,2.4,0.19536,0.27144,7e-05,0.01527,-0.00022,0.11507,0.00647,0.05624,3e-05,-1.60632,3e-05,0.19533,0.08281,0.71971,0.70684,2.84086,"none",0.70686,0.70704,0.70669,"Comment",-1,-1,""
2.368912,0.1917976,0.2670338,-0.005069756,0.01111856,-0.005788209,72.7,150,2.4,0.19695,0.27338,-9e-05,0.0157,1e-04,0.1151,0.00661,0.05745,-4e-05,-1.59512,-4e-05,0.19699,0.08294,0.72044,0.70706,2.86112,"none",0.7069,0.70708,0.70672,"Comment",-1,-1,""
2.432965,0.1974923,0.2746796,-0.004608938,0.01132491,-0.005954917,72.9,152,2.4,0.20265,0.28102,0.00037,0.01591,-7e-05,0.11522,0.00652,0.05662,0.00015,-1.5528,0.00015,0.2025,0.08302,0.7211,0.70711,2.93854,"none",0.70694,0.7071,0.70678,"Comment",-1,-1,""
2.564251,0.208219,0.2901037,-0.004544614,0.01244086,-0.005828792,73.1,154,2.6,0.21337,0.29645,0.00043,0.01703,6e-05,0.11533,0.00662,0.05744,0.00017,-1.50904,0.00017,0.2132,0.08294,0.71976,0.70708,3.09707,"none",0.70695,0.70709,0.70682,"Comment",-1,-1,""
2.4177,0.1954274,0.2720264,-0.004973632,0.01139702,-0.005844654,73.3,156,2.4,0.20058,0.27837,0,0.01598,4e-05,0.11485,0.00659,0.05742,0,-1.69245,0,0.20058,0.08275,0.72055,0.70703,2.91877,"none",0.70693,0.70709,0.70677,"Comment",-1,-1,""
2.468351,0.2000464,0.2784614,-0.004961727,0.01179469,-0.005917681,73.5,158,2.5,0.2052,0.28481,2e-05,0.01638,-3e-05,0.1151,0.00662,0.05751,1e-05,-1.5979,1e-05,0.20519,0.08292,0.72049,0.70714,2.98087,"none",0.70691,0.70707,0.70674,"Comment",-1,-1,""
2.595262,0.2108616,0.2933393,-0.004668234,0.01250828,-0.00592378,73.7,160,2.6,0.21602,0.29968,0.00031,0.01709,-4e-05,0.1152,0.00657,0.05704,0.00012,-1.55854,0.00012,0.21589,0.08299,0.72081,0.70711,3.13407,"none",0.70687,0.70704,0.7067,"Comment",-1,-1,""
2.637787,0.2142035,0.2980977,-0.004730575,0.01285758,-0.005847274,73.9,162,2.6,0.21936,0.30444,0.00025,0.01744,4e-05,0.11515,0.0066,0.0573,9e-05,-1.57863,1e-04,0.21926,0.08293,0.72052,0.70694,3.18507,"none",0.70687,0.70704,0.7067,"Comment",-1,-1,""
2.681855,0.2177087,0.3032444,-0.004610291,0.01298312,-0.005912516,74.1,164,2.7,0.22286,0.30959,0.00037,0.01757,-3e-05,0.11517,0.00654,0.05675,0.00014,-1.56845,0.00015,0.22272,0.08286,0.71987,0.70648,3.23787,"none",0.70684,0.70701,0.70667,"Comment",-1,-1,""
2.739629,0.2226922,0.310394,-0.004687496,0.01342973,-0.005750804,74.3,166,2.7,0.22785,0.31674,0.00029,0.01802,0.00014,0.11536,0.00656,0.05688,0.00011,-1.50029,0.00012,0.22773,0.08294,0.71935,0.7065,3.30825,"none",0.70683,0.70699,0.70667,"Comment",-1,-1,""
