"Sample_ID","User_initials","Sample_Type","ShinyDate","Comment","region","Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","MA","MAp2SE","MAm2SE","RunSpeed","Raw88LowerThresh","Raw88UpperThresh","Smoother","Smooth_parameter","TrimLeft","TrimRight","Fluency","SpotSize","IntegrationTime","OutlierNum","CIoutliers","Length (um)"
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.43604,0.2800852,0.3883463,-0.00278823,0.01769359,-0.005982958,73.9,118,3.4,0.28529,0.39487,0.00226,0.02272,6e-05,0.11471,0.0066,0.05754,0.00066,-1.74282,9e-04,0.28438,0.08262,0.72248,0.70664,4.14423,0.70664,0.70676,0.70651,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.618729,0.2959348,0.4096687,-0.003382088,0.0185684,-0.006100295,74.1,120,3.6,0.30114,0.4162,0.00166,0.0236,-6e-05,0.11481,0.00651,0.05669,0.00046,-1.70458,0.00067,0.30047,0.08289,0.72354,0.70656,4.36521,0.70657,0.7067,0.70644,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.708109,0.3025892,0.4194568,-0.003065066,0.01939637,-0.005906306,74.3,122,3.7,0.30779,0.42599,0.00198,0.02442,0.00013,0.11469,0.00658,0.05733,0.00053,-1.753,0.00079,0.307,0.08265,0.72254,0.70652,4.47173,0.70651,0.70664,0.70638,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.697804,0.3019423,0.4181477,-0.002845177,0.01935648,-0.00593854,74.5,124,3.7,0.30714,0.42468,0.0022,0.02438,1e-04,0.11465,0.00658,0.05742,0.00059,-1.76604,0.00088,0.30626,0.08268,0.72324,0.70692,4.45934,0.70645,0.70659,0.7063,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.784315,0.3090791,0.4287354,-0.003023867,0.01979322,-0.006012993,74.7,126,3.8,0.31428,0.43526,0.00202,0.02482,3e-05,0.11483,0.00655,0.05702,0.00053,-1.69909,0.00081,0.31347,0.0827,0.72205,0.70663,4.56408,0.7064,0.70655,0.70624,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.722399,0.3043096,0.4207375,-0.003102838,0.01947735,-0.005839555,74.9,128,3.7,0.30951,0.42727,0.00194,0.0245,2e-04,0.11459,0.00657,0.05735,0.00052,-1.78948,0.00078,0.30873,0.0828,0.7244,0.70655,4.48911,0.70634,0.70652,0.70617,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.714122,0.3034148,0.4204781,-0.002753568,0.01972699,-0.005898622,75.1,130,3.7,0.30862,0.42701,0.00229,0.02475,0.00014,0.11478,0.00665,0.05797,0.00062,-1.71917,0.00092,0.3077,0.08271,0.72275,0.7066,4.47979,0.70629,0.70648,0.7061,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.523266,0.2868739,0.3976036,-0.003173828,0.0177796,-0.005964412,75.3,132,3.5,0.29208,0.40413,0.00187,0.02281,8e-05,0.1145,0.00646,0.05643,0.00053,-1.8234,0.00075,0.29132,0.08254,0.72273,0.70664,4.24774,0.70623,0.70644,0.70601,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.541659,0.2891057,0.4003755,-0.003057738,0.01836031,-0.005809946,75.5,134,3.5,0.29431,0.4069,0.00199,0.02339,0.00023,0.11469,0.00659,0.05748,0.00056,-1.7521,8e-04,0.29351,0.08273,0.72329,0.70633,4.27167,0.70619,0.70641,0.70597,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.49149,0.2848305,0.3945811,-0.002839166,0.01807135,-0.005954319,75.7,136,3.5,0.29003,0.40111,0.00221,0.0231,9e-05,0.11468,0.0066,0.05759,0.00063,-1.7565,0.00088,0.28915,0.08267,0.72308,0.70613,4.21106,0.70613,0.70635,0.70592,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.295679,0.2680804,0.3711683,-0.003219035,0.0167083,-0.005871308,75.9,138,3.3,0.27328,0.3777,0.00183,0.02174,0.00017,0.11439,0.00658,0.05755,0.00055,-1.86673,0.00073,0.27255,0.08254,0.72355,0.70618,3.97387,0.7061,0.70631,0.70589,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.09212,0.251036,0.3480562,-0.003280217,0.01520082,-0.005925586,76.1,140,3.1,0.25624,0.35458,0.00176,0.02023,0.00011,0.11444,0.00653,0.05705,0.00057,-1.84553,0.00071,0.25553,0.08247,0.72264,0.7059,3.72867,0.70608,0.70628,0.70587,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.17057,0.2582705,0.3582906,-0.003095204,0.01607294,-0.006014145,76.3,142,3.2,0.26347,0.36482,0.00195,0.0211,3e-05,0.11484,0.00664,0.05784,0.00061,-1.69537,0.00078,0.26269,0.08269,0.7222,0.70589,3.82539,0.70607,0.70627,0.70587,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.05981,0.248584,0.3446227,-0.003012383,0.01513,-0.006022227,76.5,144,3.1,0.25379,0.35115,0.00203,0.02016,2e-05,0.11453,0.00657,0.0574,0.00066,-1.81277,0.00082,0.25297,0.08251,0.72273,0.70568,3.6903,0.70604,0.70622,0.70586,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.036958,0.2470892,0.3427184,-0.003445818,0.01494595,-0.006220039,76.7,146,3,0.25229,0.34925,0.0016,0.01997,-0.00018,0.11476,0.00656,0.05719,0.00053,-1.72381,0.00064,0.25165,0.08269,0.72239,0.70575,3.66404,0.70601,0.70618,0.70584,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",2.851471,0.231084,0.3203541,-0.003162276,0.01383829,-0.005876969,76.9,148,2.9,0.23629,0.32688,0.00188,0.01887,0.00016,0.11439,0.0066,0.05771,0.00066,-1.86701,0.00076,0.23553,0.08242,0.72285,0.70559,3.43896,0.70598,0.70615,0.70582,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",2.831782,0.2299899,0.319224,-0.00336344,0.01359337,-0.005894505,77.1,150,2.8,0.23519,0.32575,0.00168,0.01862,0.00014,0.11478,0.00656,0.05716,0.00059,-1.7168,0.00067,0.23452,0.08264,0.722,0.70554,3.41689,0.70595,0.7061,0.7058,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.855993,0.2319238,0.3219436,-0.003056979,0.0142405,-0.00593615,77.3,152,2.9,0.23713,0.32847,0.00199,0.01927,1e-04,0.11476,0.00673,0.05866,0.00069,-1.72467,8e-04,0.23633,0.08257,0.72191,0.70527,3.44628,0.70592,0.70604,0.70579,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.732674,0.2213759,0.3073669,-0.003535206,0.013001,-0.006063407,77.5,154,2.7,0.22658,0.3139,0.00151,0.01803,-2e-05,0.11461,0.00658,0.05743,0.00055,-1.78349,0.00061,0.22597,0.08251,0.72183,0.70567,3.29678,0.70589,0.70601,0.70576,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.579825,0.2086924,0.2897981,-0.00350124,0.01193086,-0.005943929,77.7,156,2.6,0.2139,0.29633,0.00154,0.01696,1e-04,0.11459,0.00656,0.05723,6e-04,-1.79101,0.00062,0.21328,0.08247,0.72182,0.70568,3.1126,0.70587,0.70599,0.70575,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.614211,0.2122954,0.2939322,-0.003434828,0.01222827,-0.006047468,77.9,158,2.6,0.2175,0.30046,0.00161,0.01726,-1e-05,0.11466,0.00659,0.05743,0.00061,-1.76291,0.00065,0.21685,0.08275,0.72388,0.70602,3.15499,0.70585,0.70596,0.70573,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.496185,0.2020583,0.2801739,-0.003405671,0.01160517,-0.005898708,78.1,160,2.5,0.20726,0.2867,0.00164,0.01663,0.00014,0.11457,0.00665,0.05801,0.00065,-1.79711,0.00066,0.2066,0.08256,0.72291,0.70605,3.01234,0.70584,0.70596,0.70573,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.539584,0.2059803,0.2853503,-0.003606765,0.01148518,-0.005972533,78.3,162,2.5,0.21118,0.29188,0.00144,0.01651,7e-05,0.11465,0.00649,0.05657,0.00056,-1.76665,0.00058,0.21061,0.08273,0.72353,0.70638,3.06479,0.70583,0.70595,0.70572,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.507615,0.2029514,0.2815112,-0.003258423,0.01180532,-0.006074331,78.5,164,2.5,0.20815,0.28804,0.00179,0.01683,-3e-05,0.11458,0.0067,0.05844,0.00071,-1.79291,0.00072,0.20744,0.08252,0.72266,0.70629,3.02614,0.70583,0.70595,0.70572,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.670403,0.2170498,0.3010321,-0.003308932,0.01295113,-0.005783626,78.7,166,2.7,0.22225,0.30756,0.00174,0.01798,0.00026,0.11491,0.00672,0.05846,0.00065,-1.66984,0.00069,0.22156,0.08278,0.72263,0.70612,3.22371,0.70584,0.70595,0.70572,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.66843,0.2166069,0.3002101,-0.003572953,0.01251877,-0.006135051,78.9,168,2.7,0.22181,0.30674,0.00147,0.01755,-1e-04,0.11468,0.00656,0.0572,0.00055,-1.75424,0.00059,0.22122,0.08271,0.72312,0.70596,3.22015,0.70585,0.70596,0.70574,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.590136,0.2094686,0.2911516,-0.003826716,0.01183751,-0.006044324,79.1,170,2.6,0.21467,0.29768,0.00122,0.01686,0,0.11465,0.0065,0.05665,0.00047,-1.76585,0.00049,0.21418,0.08249,0.72115,0.70591,3.12508,0.70588,0.706,0.70577,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.749773,0.2235406,0.3100522,-0.003086228,0.01330501,-0.005833308,79.3,172,2.8,0.22874,0.31658,0.00196,0.01833,0.00021,0.11487,0.00665,0.05791,0.00071,-1.68359,0.00078,0.22796,0.08271,0.72254,0.70597,3.31886,0.70591,0.70601,0.70582,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.648322,0.2143765,0.2979483,-0.003809609,0.01231235,-0.005961295,79.5,174,2.7,0.21958,0.30448,0.00124,0.01734,8e-05,0.1147,0.00653,0.05695,0.00047,-1.74791,5e-04,0.21908,0.08253,0.72117,0.70572,3.19543,0.70594,0.70604,0.70585,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.76613,0.2250309,0.3120173,-0.003400277,0.01338815,-0.005871441,79.7,176,2.8,0.23023,0.31855,0.00164,0.01842,0.00017,0.1149,0.00664,0.05781,0.00059,-1.67182,0.00066,0.22958,0.08281,0.72276,0.70582,3.33888,0.70597,0.70606,0.70587,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.531395,0.2046654,0.2837958,-0.00354065,0.01164142,-0.006019449,79.9,178,2.5,0.20987,0.29032,0.0015,0.01667,2e-05,0.11441,0.00657,0.05741,0.00059,-1.85886,6e-04,0.20926,0.08246,0.72287,0.70571,3.05386,0.70597,0.70607,0.70588,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.337351,0.1889418,0.2623693,-0.003533815,0.01028985,-0.005824748,80.3,182,2.3,0.19414,0.2689,0.00151,0.01532,0.00021,0.11474,0.00654,0.05696,0.00064,-1.73341,0.00061,0.19354,0.08258,0.722,0.70579,2.82132,0.70596,0.70606,0.70587,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.305583,0.1860712,0.2579435,-0.003572788,0.01000145,-0.006067518,80.7,186,2.3,0.19127,0.26447,0.00147,0.01503,-3e-05,0.1144,0.0065,0.05683,0.00064,-1.86173,0.00059,0.19068,0.08248,0.72323,0.70575,2.78198,0.70595,0.70603,0.70586,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.395438,0.1939542,0.2696847,-0.003605585,0.01079618,-0.005794577,80.9,188,2.4,0.19916,0.27621,0.00144,0.01582,0.00024,0.11501,0.00659,0.05729,6e-04,-1.63076,0.00058,0.19858,0.08269,0.72103,0.70565,2.89227,0.70593,0.70601,0.70585,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.512333,0.2039015,0.2828866,-0.003566938,0.01173274,-0.005909605,81.1,190,2.5,0.2091,0.28942,0.00148,0.01676,0.00013,0.11491,0.00665,0.05791,0.00059,-1.66717,0.00059,0.20851,0.08279,0.72251,0.70582,3.03323,0.70592,0.70599,0.70584,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.390421,0.1930101,0.268205,-0.003729604,0.01089813,-0.00584763,81.3,192,2.4,0.19821,0.27473,0.00132,0.01593,0.00019,0.11463,0.00664,0.05797,0.00055,-1.77355,0.00053,0.19769,0.08248,0.72147,0.7059,2.88498,0.70593,0.706,0.70585,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","Natal",2.38324,0.1927574,0.2674032,-0.003872184,0.01052938,-0.006035102,81.5,194,2.4,0.19796,0.27393,0.00117,0.01556,0,0.11464,0.00651,0.05679,0.00049,-1.77015,0.00047,0.19749,0.08265,0.72266,0.70616,2.87643,0.70595,0.70604,0.70586,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
