"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
2.912561,0.2373372,0.3296068,-0.00489418,0.01398504,-0.005778778,116.7,728,2.9,0.24404,0.33797,9e-05,0.01868,0.00011,0.11524,0.00637,0.05528,3e-05,-1.54544,3e-05,0.244,0.0832,0.72208,0.70928,3.53349,"none",0.70922,0.70935,0.70909,"Comment",-1,-1,"",""
3.177471,0.2599558,0.3607365,-0.00467772,0.01599405,-0.006001571,116.9,730,3.2,0.26666,0.3691,3e-04,0.02069,-0.00011,0.11542,0.00647,0.05606,9e-05,-1.4743,0.00012,0.26654,0.08335,0.72246,0.70955,3.85407,"none",0.70923,0.70934,0.70912,"Comment",-1,-1,"",""
3.408365,0.2786996,0.3873389,-0.004541968,0.01730568,-0.005795852,117.1,732,3.4,0.2854,0.3957,0.00044,0.022,9e-05,0.11541,0.00642,0.05561,0.00013,-1.47962,0.00017,0.28523,0.08319,0.72126,0.70938,4.13157,"none",0.70922,0.70934,0.70911,"Comment",-1,-1,"",""
3.703445,0.303726,0.421662,-0.005118366,0.01901731,-0.005947662,117.3,734,3.7,0.31043,0.43002,-0.00014,0.02372,-6e-05,0.11548,0.00637,0.05515,-4e-05,-1.45248,-6e-05,0.31048,0.08338,0.72189,0.70933,4.48794,"none",0.70923,0.70934,0.70912,"Comment",-1,-1,"",""
3.763174,0.3081909,0.4275638,-0.004674482,0.01966809,-0.005854932,117.5,736,3.8,0.31489,0.43592,3e-04,0.02437,3e-05,0.11522,0.00644,0.0559,8e-05,-1.55181,0.00012,0.31477,0.0832,0.72236,0.70919,4.55851,"none",0.70919,0.70933,0.70905,"Comment",-1,-1,"",""
3.75984,0.3077836,0.4270027,-0.004498882,0.01961306,-0.005974771,117.7,738,3.8,0.31448,0.43536,0.00048,0.02431,-9e-05,0.11517,0.00643,0.05584,0.00013,-1.5695,0.00019,0.31429,0.08314,0.72235,0.70925,4.55408,"none",0.70913,0.7093,0.70895,"Comment",-1,-1,"",""
3.62299,0.2960926,0.410879,-0.005294014,0.01854198,-0.005946849,117.9,740,3.6,0.30279,0.41924,-0.00031,0.02324,-6e-05,0.11507,0.00638,0.05544,-9e-05,-1.60712,-0.00013,0.30292,0.08315,0.72225,0.70901,4.38867,"none",0.70905,0.7092,0.70889,"Comment",-1,-1,"",""
3.100328,0.2524498,0.3503808,-0.005124096,0.01501703,-0.005907622,118.3,744,3.1,0.25915,0.35874,-0.00014,0.01972,-2e-05,0.11496,0.00632,0.05496,-5e-05,-1.65009,-6e-05,0.25921,0.08306,0.72239,0.70904,3.75827,"none",0.70899,0.70913,0.70885,"Comment",-1,-1,"",""
3.150866,0.256973,0.3571401,-0.00506931,0.01535186,-0.005625837,118.7,748,3.2,0.26367,0.3655,-9e-05,0.02005,0.00026,0.11526,0.00632,0.05486,-3e-05,-1.53685,-4e-05,0.26371,0.08316,0.72141,0.70903,3.8204,"none",0.70893,0.70906,0.7088,"Comment",-1,-1,"",""
3.318639,0.2714561,0.3770403,-0.004789777,0.01700195,-0.006035568,118.9,750,3.3,0.27816,0.3854,0.00019,0.0217,-0.00015,0.11543,0.0065,0.05631,6e-05,-1.47322,8e-05,0.27808,0.08329,0.72174,0.70879,4.0241,"none",0.70891,0.70902,0.7088,"Comment",-1,-1,"",""
