"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","Userinitials"
1.945926,0.156751,0.218032,-0.004760414,0.008080558,-0.005991701,60.3,28,2,0.1619,0.22437,0.00023,0.01267,-1e-04,0.11494,0.00649,0.05646,0.00012,-1.65634,9e-05,0.16181,0.08289,0.72156,0.70769,2.35091,"none",0.70776,0.70784,0.70769,"Comment2",-1,-1,"Ugh","MW"
1.980388,0.1596577,0.2223818,-0.004832367,0.008514217,-0.005852663,60.5,30,2,0.16481,0.22872,0.00016,0.0131,4e-05,0.11514,0.00659,0.05728,8e-05,-1.58231,6e-05,0.16474,0.08293,0.72055,0.70761,2.39309,"none",0.70772,0.70778,0.70767,"Comment2",-1,-1,"Ugh","MW"
2.149317,0.1741616,0.2422656,-0.004607928,0.00959744,-0.005738669,60.7,32,2.2,0.17931,0.24861,0.00039,0.01418,0.00016,0.11534,0.00658,0.05705,0.00018,-1.5063,0.00015,0.17916,0.08312,0.72126,0.70764,2.5974,"none",0.70772,0.70778,0.70766,"Comment2",-1,-1,"Ugh","MW"
2.336455,0.1894562,0.2636616,-0.004966806,0.01053307,-0.005810753,60.9,34,2.3,0.19461,0.27,3e-05,0.01512,9e-05,0.11526,0.00645,0.056,1e-05,-1.53666,1e-05,0.19459,0.08307,0.72075,0.70779,2.82231,"none",0.70769,0.70777,0.70761,"Comment2",-1,-1,"Ugh","MW"
2.403026,0.1948886,0.2711551,-0.004562694,0.01124454,-0.005807989,61.1,36,2.4,0.20004,0.2775,0.00043,0.01583,9e-05,0.11518,0.00657,0.05705,0.00018,-1.56479,0.00017,0.19987,0.08296,0.72086,0.70788,2.90236,"none",0.70764,0.70775,0.70753,"Comment2",-1,-1,"Ugh","MW"
2.403289,0.1949837,0.2710387,-0.004881865,0.01132471,-0.005995713,61.3,38,2.4,0.20013,0.27738,0.00011,0.01591,-1e-04,0.11512,0.0066,0.05736,5e-05,-1.5878,4e-05,0.20009,0.08304,0.72151,0.70782,2.90281,"none",0.70763,0.70774,0.70751,"Comment2",-1,-1,"Ugh","MW"
2.676033,0.2179467,0.3031975,-0.004318,0.0131846,-0.005709618,61.5,40,2.7,0.2231,0.30954,0.00068,0.01777,0.00019,0.11541,0.00663,0.05741,0.00025,-1.48085,0.00027,0.22283,0.08308,0.72073,0.7076,3.23231,"none",0.70764,0.70775,0.70752,"Comment2",-1,-1,"Ugh","MW"
2.657902,0.2159929,0.3002684,-0.004903392,0.01281165,-0.005984715,61.7,42,2.7,0.22114,0.30661,9e-05,0.0174,-9e-05,0.11509,0.00653,0.05674,3e-05,-1.59947,4e-05,0.22111,0.083,0.72125,0.70769,3.20915,"none",0.70761,0.70774,0.70749,"Comment2",-1,-1,"Ugh","MW"
2.561284,0.2076447,0.288753,-0.004635961,0.01196446,-0.005955655,61.9,44,2.6,0.21279,0.2951,0.00036,0.01655,-6e-05,0.11494,0.00645,0.05609,0.00014,-1.65776,0.00014,0.21265,0.08283,0.7211,0.70744,3.09172,"none",0.7076,0.70772,0.70748,"Comment2",-1,-1,"Ugh","MW"
2.716618,0.2208721,0.3072058,-0.004922175,0.01323782,-0.005791086,62.1,46,2.7,0.22602,0.31355,7e-05,0.01782,1e-04,0.11516,0.00655,0.05685,3e-05,-1.57453,3e-05,0.22599,0.083,0.72085,0.7073,3.28012,"none",0.70759,0.7077,0.70748,"Comment2",-1,-1,"Ugh","MW"
2.620993,0.2129372,0.2959456,-0.004117712,0.01289985,-0.005752058,62.3,48,2.6,0.21809,0.30229,0.00088,0.01749,0.00014,0.11506,0.00666,0.05785,0.00033,-1.61025,0.00035,0.21774,0.08288,0.72145,0.7075,3.16464,"none",0.70757,0.70766,0.70747,"Comment2",-1,-1,"Ugh","MW"
2.498469,0.2022917,0.2812215,-0.004714012,0.01199676,-0.005626413,62.5,50,2.5,0.20744,0.28756,0.00028,0.01658,0.00027,0.11481,0.00662,0.05767,0.00011,-1.70491,0.00011,0.20733,0.08278,0.72137,0.70772,3.01608,"none",0.70755,0.70765,0.70745,"Comment2",-1,-1,"Ugh","MW"
2.650684,0.21583,0.2997232,-0.004844956,0.01269911,-0.00596209,62.7,52,2.7,0.22098,0.30607,0.00015,0.01729,-7e-05,0.1152,0.00651,0.05648,6e-05,-1.55884,6e-05,0.22092,0.08315,0.722,0.70739,3.20109,"none",0.70752,0.70762,0.70742,"Comment2",-1,-1,"Ugh","MW"
2.78246,0.2266222,0.3148784,-0.004519213,0.01381422,-0.005799615,62.9,54,2.8,0.23177,0.32122,0.00047,0.0184,1e-04,0.11519,0.0066,0.05728,0.00017,-1.56228,0.00019,0.23158,0.08305,0.72153,0.70765,3.3598,"none",0.70747,0.70762,0.70733,"Comment2",-1,-1,"Ugh","MW"
