"Blk88","Blk87","Blk86","Blk85","Blk84","Blk83","CycleSecs","name"
"-0.005974777","-0.005265399","-0.005913652","-0.005389212","-0.003628746","-0.005709884","101.9","PC_2016_01_A2_4R.run"
"-0.006009313","-0.005319374","-0.006207809","-0.004898586","-0.003147357","-0.005701356","102.1","PC_2016_01_A2_4R.run"
"-0.006054968","-0.005473412","-0.006102052","-0.004932811","-0.003485265","-0.005584837","102.3","PC_2016_01_A2_4R.run"
"-0.006280189","-0.004955112","-0.006013431","-0.004941572","-0.003378726","-0.005684261","102.5","PC_2016_01_A2_4R.run"
"-0.005914782","-0.005419231","-0.005969037","-0.005053968","-0.003428146","-0.005715466","102.7","PC_2016_01_A2_4R.run"
"-0.006134504","-0.0050985","-0.00580515","-0.004822343","-0.003368583","-0.005742349","102.9","PC_2016_01_A2_4R.run"
"-0.006077837","-0.005423033","-0.006147698","-0.004979006","-0.003366535","-0.005651858","103.1","PC_2016_01_A2_4R.run"
"-0.005822166","-0.005264518","-0.005861625","-0.005104789","-0.003364523","-0.005657356","103.3","PC_2016_01_A2_4R.run"
"-0.006227842","-0.005229062","-0.006217307","-0.00521527","-0.003563062","-0.005708872","103.5","PC_2016_01_A2_4R.run"
"-0.005855876","-0.005198963","-0.006008128","-0.004996208","-0.003647036","-0.005759779","103.7","PC_2016_01_A2_4R.run"
"-0.005999568","-0.005231704","-0.005981402","-0.005284096","-0.003429201","-0.005691345","103.9","PC_2016_01_A2_4R.run"
"-0.00599621","-0.005427429","-0.006144038","-0.004972493","-0.003251266","-0.005527584","104.1","PC_2016_01_A2_4R.run"
"-0.00603939","-0.005339749","-0.005952113","-0.004827586","-0.00335216","-0.005434095","104.3","PC_2016_01_A2_4R.run"
"-0.006049528","-0.005167286","-0.006059079","-0.004868957","-0.003189065","-0.005612818","104.5","PC_2016_01_A2_4R.run"
"-0.005984157","-0.005476486","-0.005793397","-0.005367427","-0.003566888","-0.005670195","104.7","PC_2016_01_A2_4R.run"
"-0.00581265","-0.004946125","-0.006255863","-0.004767664","-0.003222784","-0.00569132","104.9","PC_2016_01_A2_4R.run"
"-0.006065499","-0.005619734","-0.005652867","-0.005278023","-0.003173561","-0.005626325","105.1","PC_2016_01_A2_4R.run"
"-0.006015391","-0.005303606","-0.006206805","-0.004953458","-0.003556031","-0.005774413","105.3","PC_2016_01_A2_4R.run"
"-0.005856444","-0.005208294","-0.00561208","-0.005198167","-0.003305368","-0.005663067","105.5","PC_2016_01_A2_4R.run"
"-0.00613317","-0.005260627","-0.006034356","-0.004632736","-0.003399055","-0.005697558","105.7","PC_2016_01_A2_4R.run"
"-0.006096393","-0.005271665","-0.00614512","-0.005249114","-0.003483999","-0.005887594","105.9","PC_2016_01_A2_4R.run"
"-0.005812045","-0.005428751","-0.005768146","-0.005076619","-0.003166956","-0.005795861","106.1","PC_2016_01_A2_4R.run"
"-0.006013492","-0.005282209","-0.006097913","-0.004977657","-0.003491105","-0.005686088","106.3","PC_2016_01_A2_4R.run"
"-0.006194452","-0.005487074","-0.005928318","-0.004869795","-0.003318046","-0.005614849","106.5","PC_2016_01_A2_4R.run"
"-0.005822903","-0.005343969","-0.006070308","-0.005148601","-0.00357141","-0.005794176","106.7","PC_2016_01_A2_4R.run"
"-0.006202011","-0.005121492","-0.005875131","-0.004980179","-0.003316673","-0.005572698","106.9","PC_2016_01_A2_4R.run"
"-0.005907607","-0.005338585","-0.005821576","-0.004947828","-0.003245955","-0.005589655","107.1","PC_2016_01_A2_4R.run"
"-0.006126148","-0.00506729","-0.006140388","-0.005352424","-0.00355212","-0.005700869","107.3","PC_2016_01_A2_4R.run"
"-0.006235606","-0.005126879","-0.006089944","-0.005208942","-0.003263779","-0.005806471","107.5","PC_2016_01_A2_4R.run"
"-0.005926977","-0.005353667","-0.005955325","-0.004474545","-0.003299387","-0.005392151","107.7","PC_2016_01_A2_4R.run"
"-0.006046836","-0.005614221","-0.006209841","-0.005407874","-0.003415295","-0.005890143","107.9","PC_2016_01_A2_4R.run"
"-0.005994405","-0.005114079","-0.005935547","-0.005041241","-0.003349615","-0.005540111","108.1","PC_2016_01_A2_4R.run"
"-0.006200639","-0.005142529","-0.006008743","-0.004986407","-0.003343632","-0.005770166","108.3","PC_2016_01_A2_4R.run"
"-0.005781532","-0.005219765","-0.005852749","-0.0047281","-0.003279606","-0.005416469","108.5","PC_2016_01_A2_4R.run"
"-0.006156351","-0.005321901","-0.006008639","-0.005610156","-0.003805059","-0.005785191","108.7","PC_2016_01_A2_4R.run"
"-0.00606677","-0.005175012","-0.005926973","-0.004611798","-0.003299316","-0.005778892","108.9","PC_2016_01_A2_4R.run"
"-0.005797589","-0.005508284","-0.006153621","-0.005095652","-0.003305957","-0.005745645","109.1","PC_2016_01_A2_4R.run"
"-0.006035561","-0.005177759","-0.005814887","-0.005007627","-0.003266348","-0.005630902","109.3","PC_2016_01_A2_4R.run"
"-0.006073254","-0.005271337","-0.006070298","-0.004998781","-0.00346491","-0.005645119","109.5","PC_2016_01_A2_4R.run"
"-0.005920595","-0.005009362","-0.006065701","-0.005032972","-0.003401798","-0.005729087","109.7","PC_2016_01_A2_4R.run"
"-0.006105846","-0.005393352","-0.005983084","-0.004983386","-0.003249244","-0.005410452","109.9","PC_2016_01_A2_4R.run"
"-0.006124923","-0.005139766","-0.006061252","-0.005390155","-0.00343875","-0.005942774","110.1","PC_2016_01_A2_4R.run"
"-0.006107551","-0.005553025","-0.005943289","-0.004902414","-0.003480088","-0.005768004","110.3","PC_2016_01_A2_4R.run"
"-0.00608563","-0.005103266","-0.005849692","-0.004968142","-0.00314493","-0.005485001","110.5","PC_2016_01_A2_4R.run"
"-0.005977208","-0.005484841","-0.006164518","-0.005020702","-0.00340369","-0.005965719","110.7","PC_2016_01_A2_4R.run"
"-0.006011741","-0.005616944","-0.006070028","-0.005174352","-0.003603086","-0.005610335","110.9","PC_2016_01_A2_4R.run"
"-0.006140383","-0.004885342","-0.005673795","-0.004626827","-0.003113979","-0.005637536","111.1","PC_2016_01_A2_4R.run"
"-0.005946134","-0.005354748","-0.00615969","-0.005119999","-0.003476626","-0.005735876","111.3","PC_2016_01_A2_4R.run"
"-0.006148182","-0.005173301","-0.005977373","-0.004938182","-0.003251997","-0.005742713","111.5","PC_2016_01_A2_4R.run"
"-0.006005056","-0.00545389","-0.005890683","-0.005108722","-0.003357608","-0.005781041","111.7","PC_2016_01_A2_4R.run"
"-0.006129306","-0.005426","-0.006068458","-0.005126526","-0.003402373","-0.00547063","111.9","PC_2016_01_A2_4R.run"
"-0.006086645","-0.005197684","-0.005888923","-0.005066711","-0.00352337","-0.005881429","112.1","PC_2016_01_A2_4R.run"
"-0.005868055","-0.005388317","-0.005864284","-0.005108953","-0.003383454","-0.00560282","112.3","PC_2016_01_A2_4R.run"
"-0.005982962","-0.005552172","-0.006273214","-0.005252284","-0.003148292","-0.005788923","112.5","PC_2016_01_A2_4R.run"
"-0.005883152","-0.004962632","-0.006002572","-0.0048823","-0.003332697","-0.005304103","112.7","PC_2016_01_A2_4R.run"
"-0.006004447","-0.005539873","-0.006063374","-0.005218825","-0.00347522","-0.005831988","112.9","PC_2016_01_A2_4R.run"
"-0.00626379","-0.005367467","-0.006016768","-0.004731265","-0.003100493","-0.005526992","113.1","PC_2016_01_A2_4R.run"
"-0.00591292","-0.00523799","-0.006040026","-0.005270917","-0.003155287","-0.005553445","113.3","PC_2016_01_A2_4R.run"
"-0.006070088","-0.00534793","-0.005923425","-0.005131658","-0.00369625","-0.005692059","113.5","PC_2016_01_A2_4R.run"
"-0.006345116","-0.005305254","-0.005966579","-0.004843777","-0.003338605","-0.005877727","113.7","PC_2016_01_A2_4R.run"
"-0.00581408","-0.005210612","-0.005959708","-0.005264811","-0.003205303","-0.005730442","113.9","PC_2016_01_A2_4R.run"
"-0.006114148","-0.005198599","-0.006069509","-0.005085021","-0.003364678","-0.005673321","114.1","PC_2016_01_A2_4R.run"
"-0.006205175","-0.005414099","-0.00613826","-0.004941257","-0.0031467","-0.00578114","114.3","PC_2016_01_A2_4R.run"
"-0.005821771","-0.005053709","-0.005848463","-0.005009857","-0.00359495","-0.005920136","114.5","PC_2016_01_A2_4R.run"
"-0.005805356","-0.005270287","-0.005849314","-0.004814476","-0.003431829","-0.005453712","114.7","PC_2016_01_A2_4R.run"
"-0.006164866","-0.005386997","-0.006018892","-0.005254588","-0.003167605","-0.006068986","114.9","PC_2016_01_A2_4R.run"
"-0.005924884","-0.005442512","-0.006019575","-0.004950596","-0.003358544","-0.005462312","115.1","PC_2016_01_A2_4R.run"
"-0.005793634","-0.005380955","-0.005947775","-0.005200052","-0.003424368","-0.005817561","115.3","PC_2016_01_A2_4R.run"
"-0.006297473","-0.005239907","-0.005894827","-0.005059624","-0.00323918","-0.005660456","115.5","PC_2016_01_A2_4R.run"
"-0.006005865","-0.005411087","-0.006055525","-0.005186517","-0.003411206","-0.005740176","115.7","PC_2016_01_A2_4R.run"
"-0.005938157","-0.005395536","-0.005922383","-0.0047059","-0.003616085","-0.005672331","115.9","PC_2016_01_A2_4R.run"
"-0.006015625","-0.005210279","-0.00628814","-0.00523498","-0.003206831","-0.005554375","116.1","PC_2016_01_A2_4R.run"
